n,beta,Itinerary_String
21,1.9643837316103,"[0, 5, 6, 10, 13, 17]"
21,1.9643947550193,"[0, 5, 6, 10, 13, 18]"
21,1.9641976972811,"[0, 5, 6, 10, 14, 16]"
21,1.9642194067432,"[0, 5, 6, 10, 14, 17]"
21,1.9642304563443,"[0, 5, 6, 10, 14, 18]"
21,1.964236080965,"[0, 5, 6, 10, 14, 19]"
21,1.964135615139,"[0, 5, 6, 10, 15, 17]"
21,1.9641466785975,"[0, 5, 6, 10, 15, 18]"
21,1.964152310511,"[0, 5, 6, 10, 15, 19]"
21,1.9659174516873,"[0, 5, 6, 11, 12, 16]"
21,1.9659386915473,"[0, 5, 6, 11, 12, 17]"
21,1.9655995692272,"[0, 5, 6, 11, 13, 16]"
21,1.9656208995998,"[0, 5, 6, 11, 13, 17]"
21,1.9656317485705,"[0, 5, 6, 11, 13, 18]"
21,1.9654373917209,"[0, 5, 6, 11, 14, 16]"
21,1.9654587702188,"[0, 5, 6, 11, 14, 17]"
21,1.965469644556,"[0, 5, 6, 11, 14, 18]"
21,1.9654751764856,"[0, 5, 6, 11, 14, 19]"
21,1.9653547484285,"[0, 5, 6, 11, 15, 16]"
21,1.9653761524025,"[0, 5, 6, 11, 15, 17]"
21,1.9653870401519,"[0, 5, 6, 11, 15, 18]"
21,1.9653925791361,"[0, 5, 6, 11, 15, 19]"
21,1.9653340797336,"[0, 5, 6, 11, 16, 17]"
21,1.9653449745542,"[0, 5, 6, 11, 16, 18]"
21,1.9653505172539,"[0, 5, 6, 11, 16, 19]"
21,1.965353337253,"[0, 5, 6, 11, 16, 20]"
21,1.9375301877212,"[0, 5, 7, 8, 11, 16]"
21,1.9367361738854,"[0, 5, 7, 8, 12, 16]"
21,1.9367654313657,"[0, 5, 7, 8, 12, 17]"
21,1.9363234293625,"[0, 5, 7, 8, 13, 16]"
21,1.9363528552834,"[0, 5, 7, 8, 13, 17]"
21,1.9363680463155,"[0, 5, 7, 8, 13, 18]"
21,1.9431580599576,"[0, 5, 7, 9, 11, 16]"
21,1.9424041739375,"[0, 5, 7, 9, 12, 16]"
21,1.9424315431215,"[0, 5, 7, 9, 12, 17]"
21,1.9420135960375,"[0, 5, 7, 9, 13, 16]"
21,1.9420411128723,"[0, 5, 7, 9, 13, 17]"
21,1.9420552771188,"[0, 5, 7, 9, 13, 18]"
21,1.9418393515434,"[0, 5, 7, 9, 14, 17]"
21,1.9418535582008,"[0, 5, 7, 9, 14, 18]"
21,1.9459593136597,"[0, 5, 7, 10, 11, 16]"
21,1.9452255079751,"[0, 5, 7, 10, 12, 16]"
21,1.9452519522145,"[0, 5, 7, 10, 12, 17]"
21,1.9448459653593,"[0, 5, 7, 10, 13, 16]"
21,1.9448725474445,"[0, 5, 7, 10, 13, 17]"
21,1.9448862107908,"[0, 5, 7, 10, 13, 18]"
21,1.9446501372708,"[0, 5, 7, 10, 14, 16]"
21,1.9446767935107,"[0, 5, 7, 10, 14, 17]"
21,1.9446904963368,"[0, 5, 7, 10, 14, 18]"
21,1.9445896611796,"[0, 5, 7, 10, 15, 18]"
21,1.9445967174176,"[0, 5, 7, 10, 15, 19]"
21,1.9466487578384,"[0, 5, 7, 11, 12, 16]"
21,1.9466747305868,"[0, 5, 7, 11, 12, 17]"
21,1.9462749071737,"[0, 5, 7, 11, 13, 16]"
21,1.9463010128355,"[0, 5, 7, 11, 13, 17]"
21,1.9463144215405,"[0, 5, 7, 11, 13, 18]"
21,1.9460821700857,"[0, 5, 7, 11, 14, 16]"
21,1.9461083471915,"[0, 5, 7, 11, 14, 17]"
21,1.9461217939092,"[0, 5, 7, 11, 14, 18]"
21,1.945982943503,"[0, 5, 7, 11, 15, 16]"
21,1.9460091588224,"[0, 5, 7, 11, 15, 17]"
21,1.9460226258483,"[0, 5, 7, 11, 15, 18]"
21,1.9460295449238,"[0, 5, 7, 11, 15, 19]"
21,1.9459716127921,"[0, 5, 7, 11, 16, 18]"
21,1.9459785376045,"[0, 5, 7, 11, 16, 19]"
21,1.9459820957907,"[0, 5, 7, 11, 16, 20]"
21,1.9468101893091,"[0, 5, 7, 12, 14, 16]"
21,1.9468361171186,"[0, 5, 7, 12, 14, 17]"
21,1.9468494308466,"[0, 5, 7, 12, 14, 18]"
21,1.9467118351034,"[0, 5, 7, 12, 15, 16]"
21,1.94673780036,"[0, 5, 7, 12, 15, 17]"
21,1.9467511339824,"[0, 5, 7, 12, 15, 18]"
21,1.9467579819684,"[0, 5, 7, 12, 15, 19]"
21,1.946687244364,"[0, 5, 7, 12, 16, 17]"
21,1.9467005885776,"[0, 5, 7, 12, 16, 18]"
21,1.9467074421798,"[0, 5, 7, 12, 16, 19]"
21,1.9467109624614,"[0, 5, 7, 12, 16, 20]"
21,1.9466814655718,"[0, 5, 7, 12, 17, 19]"
21,1.9466849874311,"[0, 5, 7, 12, 17, 20]"
