n,beta,Itinerary_String
12,1.8127153411862,"[0, 3, 4, 6, 7, 8, 9, 10]"
12,1.8158370553728,"[0, 3, 4, 6, 7, 8, 9, 11]"
12,1.810110090388,"[0, 3, 4, 6, 7, 8, 10, 11]"
12,1.8203199441007,"[0, 3, 4, 6, 7, 9, 10, 11]"
12,1.8012619515614,"[0, 3, 4, 6, 8, 9, 10, 11]"
12,1.834497500916,"[0, 3, 4, 7, 8, 9, 10, 11]"
12,1.6617697369724,"[0, 3, 5, 6, 7, 8, 9, 10]"
12,1.6714607794458,"[0, 3, 5, 6, 7, 8, 9, 11]"
12,1.6547381049799,"[0, 3, 5, 6, 7, 8, 10, 11]"
12,1.6813482735393,"[0, 3, 5, 6, 7, 9, 10, 11]"
12,1.6332566630807,"[0, 3, 5, 6, 8, 9, 10, 11]"
12,1.7065966034878,"[0, 3, 5, 7, 8, 9, 10, 11]"
12,1.898988940262,"[0, 4, 5, 6, 7, 8, 9, 10]"
12,1.9008998874426,"[0, 4, 5, 6, 7, 8, 9, 11]"
12,1.897242870626,"[0, 4, 5, 6, 7, 8, 10, 11]"
12,1.9041074106157,"[0, 4, 5, 6, 7, 9, 10, 11]"
12,1.8907987368933,"[0, 4, 5, 6, 8, 9, 10, 11]"
12,1.9153294687024,"[0, 4, 5, 7, 8, 9, 10, 11]"
12,1.8662701768169,"[0, 4, 6, 7, 8, 9, 10, 11]"
12,1.9537310408102,"[0, 5, 6, 7, 8, 9, 10, 11]"
12,1.4021227609042,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
12,1.3722986212605,"[0, 2, 3, 4, 5, 6, 7, 8, 10, 11]"
12,1.5077085704847,"[0, 2, 3, 4, 5, 7, 8, 9, 10, 11]"
12,1.5850105160522,"[0, 2, 3, 5, 6, 7, 8, 9, 10, 11]"
12,1.7700850225898,"[0, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
13,1.9837245331188,"[0, 7]"
13,1.9921951271545,"[0, 8]"
13,1.9962773600564,"[0, 9]"
13,1.9982766445898,"[0, 10]"
13,1.9992646997108,"[0, 11]"
13,1.9997555009373,"[0, 12]"
13,1.9248725846288,"[0, 4, 5, 9]"
13,1.878568132478,"[0, 4, 6, 9]"
13,1.8826410582792,"[0, 4, 6, 10]"
13,1.8485195418528,"[0, 4, 7, 9]"
13,1.8536175229351,"[0, 4, 7, 10]"
13,1.9569427825885,"[0, 5, 6, 8]"
13,1.9619291874359,"[0, 5, 6, 9]"
13,1.9643987520937,"[0, 5, 6, 10]"
13,1.9656358646463,"[0, 5, 6, 11]"
13,1.9363680546907,"[0, 5, 7, 8]"
13,1.9420562854119,"[0, 5, 7, 9]"
13,1.9448876710796,"[0, 5, 7, 10]"
13,1.946316097858,"[0, 5, 7, 11]"
13,1.930838824727,"[0, 5, 8, 9]"
13,1.9339213811003,"[0, 5, 8, 10]"
