orbit,Itinerary_String,roots
15,"[0, 4, 6, 7, 8, 9, 11, 12]","[1.8639144820921247, 1.0487211015482814]"
15,"[0, 4, 6, 7, 8, 9, 12, 13]","[1.8632899729233259, 1.0527545685684343]"
15,"[0, 4, 6, 7, 9, 10, 11, 12]","[1.8598251772549803, 1.0534861444040304]"
15,"[0, 4, 6, 7, 9, 10, 12, 13]","[1.8591781132408018, 1.0582001482382484]"
15,"[0, 4, 6, 7, 9, 10, 13, 14]","[1.858828216216332, 1.0631799603823666]"
15,"[0, 4, 6, 7, 10, 11, 12, 13]","[1.8569131909175178, 1.0642656525803427]"
15,"[0, 4, 6, 7, 10, 11, 13, 14]","[1.856555421367668, 1.0699698460377807]"
15,"[0, 4, 7, 8, 9, 10, 11, 12]","[1.8449390280755071, 1.0599252060149527]"
15,"[0, 4, 7, 8, 9, 10, 12, 13]","[1.8442132894110812, 1.065665841980183]"
15,"[0, 4, 7, 8, 9, 10, 13, 14]","[1.8438173608814874, 1.0716880675370417]"
15,"[0, 4, 7, 8, 10, 11, 12, 13]","[1.8417095986492118, 1.0731953189459058]"
15,"[0, 4, 7, 8, 10, 11, 13, 14]","[1.841303627865651, 1.0801001099311187]"
15,"[0, 4, 7, 8, 11, 12, 13, 14]","[1.839914851175426, 1.0890229851741247]"
15,"[0, 2, 3, 5, 7, 8, 9, 10, 12, 13]","[1.5128763968640941, 1.1010258818099958]"
15,"[0, 3, 4, 5, 6, 7, 8, 9, 11, 12]","[1.7657526203530403, 1.055124301053778]"
15,"[0, 3, 4, 5, 6, 7, 9, 10, 11, 12]","[1.7594047220249531, 1.0613688922397935]"
15,"[0, 3, 4, 5, 6, 7, 9, 10, 12, 13]","[1.7582037228555247, 1.067532008053445]"
15,"[0, 3, 4, 5, 6, 7, 9, 10, 13, 14]","[1.7575133209122833, 1.0740445024174226]"
15,"[0, 3, 4, 5, 7, 8, 9, 10, 11, 12]","[1.738158455325126, 1.0702649256144532]"
15,"[0, 3, 4, 5, 7, 8, 9, 10, 12, 13]","[1.7367303634866977, 1.078064652072137]"
15,"[0, 3, 4, 5, 7, 8, 9, 10, 13, 14]","[1.7358972601265592, 1.0862171929192603]"
15,"[0, 3, 4, 5, 7, 8, 10, 11, 12, 13]","[1.732302714637691, 1.0887366190844463]"
15,"[0, 3, 4, 5, 7, 8, 10, 11, 13, 14]","[1.7314292407275118, 1.0982069996624653]"
15,"[0, 3, 5, 6, 7, 8, 9, 10, 11, 12]","[1.6618816547727866, 1.084798668588353]"
15,"[0, 3, 5, 6, 7, 8, 9, 10, 12, 13]","[1.659378079976032, 1.0959061321387644]"
15,"[0, 3, 5, 6, 7, 8, 10, 11, 12, 13]","[1.6521387177439142, 1.1119445838801831]"
15,"[0, 3, 5, 6, 7, 8, 10, 11, 13, 14]","[1.65045790944103, 1.1253832058438247]"
15,"[0, 3, 5, 6, 8, 9, 10, 11, 12, 13]","[1.6299635681712505, 1.138259181013222]"
15,"[0, 3, 5, 6, 8, 9, 10, 11, 13, 14]","[1.6278351009165024, 1.1548573379897602]"
15,"[0, 3, 5, 6, 8, 9, 11, 12, 13, 14]","[1.6219119933711705, 1.1781456742775653]"
16,"[0, 5, 9, 11]","[1.929153813450974, 1.066458769693117]"
16,"[0, 6, 9, 10]","[1.9678175144897345, 1.0500172087045347]"
16,"[0, 6, 10, 11]","[1.9666028964063624, 1.0523598102054788]"
16,"[0, 6, 11, 12]","[1.965980846428748, 1.0547645360863607]"
16,"[0, 4, 5, 6, 10, 12]","[1.8832253804913899, 1.0817906967202209]"
16,"[0, 4, 6, 7, 10, 12]","[1.8574625611741356, 1.0900978602600122]"
16,"[0, 4, 6, 8, 11, 12]","[1.8711703145403717, 1.0723754973203123]"
16,"[0, 4, 7, 8, 10, 12]","[1.8423230753041278, 1.0994526861758576]"
16,"[0, 4, 7, 8, 11, 12]","[1.8392867552141636, 1.1645613189636272]"
16,"[0, 4, 7, 8, 11, 13]","[1.8401938079959186, 1.1140433539919008]"
16,"[0, 4, 7, 9, 11, 12]","[1.8492870246686306, 1.0850474214184578]"
16,"[0, 4, 7, 9, 12, 13]","[1.8485883159887901, 1.0904067452465338]"
16,"[0, 5, 6, 7, 10, 11]","[1.9477639999842329, 1.0555476279845044]"
16,"[0, 5, 6, 7, 11, 12]","[1.9470678581771734, 1.0582431714781948]"
16,"[0, 5, 7, 8, 10, 11]","[1.9375438216544372, 1.0589717967150227]"
16,"[0, 5, 7, 8, 11, 12]","[1.9367992794165443, 1.0619865117894665]"
16,"[0, 5, 7, 8, 12, 13]","[1.9364128932395133, 1.0650449215422675]"
16,"[0, 5, 8, 9, 10, 11]","[1.932062723696192, 1.0626184432187995]"
16,"[0, 5, 8, 9, 11, 12]","[1.9312883497275748, 1.0659758477226078]"
16,"[0, 5, 8, 9, 12, 13]","[1.930885234529676, 1.0693738886089967]"
16,"[0, 5, 8, 9, 13, 14]","[1.9306758127746764, 1.0727599389752827]"
16,"[0, 5, 9, 10, 11, 12]","[1.9283618019133582, 1.0701738338254179]"
16,"[0, 5, 9, 10, 12, 13]","[1.9279488160163716, 1.0739202552104683]"
16,"[0, 5, 9, 10, 13, 14]","[1.9277339195278174, 1.0776332390876742]"
